name,location,price,taxes,stars,ratings,condition,feature1,feature2,feature3
OYO Flagship 814835 MANYATA INN SERVICE APARTMENT,"Karnataka , Bangalore",₹365,+ ₹84 taxes & fees,3.5,(55 Ratings),Good,Free Wifi,Geyser,Power backup
Townhouse 1222 Rlv Green Palace,"Kengeri Satellite Townnull, Bangalore",₹963,+ ₹156 taxes & fees,4.7,(449 Ratings),Excellent,Parking facility,Reception,Free Wifi
OYO Corner Golf View Near Embassy Golf Link Business Park,"Domlur, Bangalore",₹768,+ ₹142 taxes & fees,4.7,(936 Ratings),Excellent,Cot,Power backup,Bedside Table / Desk
Super OYO Collection O Petals Otium Business Hotel,"Jakkur Main Road, Bangalore",₹768,+ ₹132 taxes & fees,4.4,(805 Ratings),Very Good,Elevator,Free Wifi,Geyser
Super OYO Capital O Premium Hotel La Prosperite Near Royal Meenakshi Mal,"Near Nano Hospital, Bannerghatta Road, Bangalore",₹1193,+ ₹183 taxes & fees,4.6,(933 Ratings),Excellent,Parking facility,Reception,Free Wifi
Collection O Dhruvas Residency,"Kannuru, Bangalore",₹553,+ ₹96 taxes & fees,4.1,(124 Ratings),Very Good,Doctor on call,Reception,Ticket tour assistance
Grand Collection O Near Sarjapur Road Near 7d Voyage,"Near Amrita School of Engineering, Bangalore",₹1076,+ ₹189 taxes & fees,4.9,(1558 Ratings),Fabulous,Parking facility,Reception,Free Wifi
OYO Flagship 69694 Sagar Comforts,"Near Cafe Republic, Kattigenahalli, Bangalore",₹563,+ ₹108 taxes & fees,3.2,(56 Ratings),Fair,Elevator,Free Wifi,Geyser
OYO Green Residency,"Near Gardencity Super Market, Bangalore",₹499,+ ₹100 taxes & fees,3.3,(100 Ratings),Fair,Reception,Free Wifi,Geyser
Capital O Hotel 24 Near opposite of Sagar Hospital,"Near SR Krishnappa Garden, Swagath Road, Bangalore",₹881,+ ₹176 taxes & fees,4.3,(1269 Ratings),Very Good,Reception,Free Wifi,Power backup
Flagship Krs Comforts,"S.A. Mohan Nagar, Bangalore",₹495,+ ₹99 taxes & fees,3.6,(32 Ratings),Good,Elevator,Free Wifi,Geyser
SPOT ON 76191 Sahara Lodge,"Yeshwanthapura, Bangalore",₹410,+ ₹89 taxes & fees,4.6,(541 Ratings),Excellent,Reception,Free Wifi,Geyser
OYO Home Leva Homes Near Baiyappanahalli Metro Station,"Mahadevapura Zone, Bangalore",₹641,+ ₹127 taxes & fees,3.7,(722 Ratings),Good,Private entrance,Elevator,Free Wifi
SPOT ON Sneha Boarding And Lodging,"Plot No 131/14  Hijjala Village Bidadi Hobli, Bangalore",₹321,+ ₹78 taxes & fees,5.0,(1 Ratings),Fabulous,Free Wifi,Geyser,Power backup
SPOT ON Sri Balaji,"210 Channasandra Main Road, Bangalore",₹410,+ ₹89 taxes & fees,3.9,(9 Ratings),Good,Elevator,Free Wifi,Geyser
OYO Flagship 814518 Surya Rooms,"Karnataka , Bangalore",₹499,+ ₹100 taxes & fees,4.8,(3 Ratings),Excellent,Elevator,Free Wifi,Geyser
OYO K N Residency,"Near REVA University, Masjid Road, Kattigenahalli",₹636,+ ₹126 taxes & fees,3.9,(434 Ratings),Good,Reception,Free Wifi,Power backup
OYO Home Compact Studio Kr Puram Near Phoenix Marketcity,"K R Puram, Bangalore",₹846,+ ₹152 taxes & fees,4.1,(550 Ratings),Very Good,Private entrance,Elevator,Free Wifi
Townhouse 040 Global Village Tech Park Near Kengeri Bus Terminal Metro Station,"Near Global Tech Park, Rr Nagar, Bangalore",₹1507,+ ₹221 taxes & fees,4.8,(986 Ratings),Excellent,Elevator,Free Wifi,CCTV cameras
OYO Hotel Pmr Near Ascendas Park Square Mall,"Near Thalaserry Restaurant, Prasanth Layout, Bangalore",₹856,+ ₹143 taxes & fees,4.0,(1041 Ratings),Very Good,Parking facility,Elevator,Free Wifi
OYO Hotel Subha Residency Near Cubbon Park,"Majestic, Bangalore",₹952,+ ₹164 taxes & fees,4.4,(1223 Ratings),Very Good,TV,Free Wifi,Geyser
OYO Flagship Raj Residency,", Bangalore",₹574,+ ₹109 taxes & fees,4.1,(71 Ratings),Very Good,Free Wifi,Geyser,Power backup
OYO Hotel Ramana Inn Near Hare Krishna Hill,"Near Apollo Phaacy, Mathikere Main Road, Bangalore",₹499,+ ₹100 taxes & fees,3.4,(181 Ratings),Fair,Parking facility,Reception,Free Wifi
